Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1880.04,-0.28,-0.2,-0.88,-0.03
1880.13,-0.46,-0.25,-1.32,0.02
1880.21,-0.31,-0.09,-0.7,0.07
1880.29,-0.51,-0.16,-1.18,0.08
1880.38,-0.22,-0.09,-0.22,-0.05
1880.46,-0.39,-0.22,-0.26,-0.17
1880.54,-0.34,-0.2,-0.32,-0.18
1880.63,0.27,-0.09,-0.07,-0.11
1880.71,-0.37,-0.15,-0.64,-0.06
1880.79,-0.57,-0.22,-0.64,-0.14
1880.88,-0.26,-0.22,-0.67,-0.1
1880.96,-0.28,-0.18,-0.85,-0.02
1881.04,-0.68,-0.19,-0.63,-0.02
1881.13,-0.23,-0.15,-0.69,0
1881.21,-0.11,0.02,-0.18,0.1
1881.29,-0.06,0.04,-0.18,0.11
1881.38,0.2,0.07,0.04,0.08
1881.46,-0.91,-0.19,-1.01,0.05
1881.54,-0.23,0.01,-0.12,0.03
1881.63,-0.24,-0.04,-0.07,-0.03
1881.71,-0.18,-0.16,-0.51,-0.08
1881.79,-0.34,-0.22,-0.81,-0.1
1881.88,-0.41,-0.18,-0.76,-0.07
1881.96,0.13,-0.07,-0.47,0.02
1882.04,0.15,0.16,0.38,0.12
1882.13,-0.15,0.14,0.26,0.11
1882.21,-0.02,0.05,0,0.04
1882.29,-0.51,-0.15,-0.77,0.02
1882.38,-0.59,-0.13,-0.46,-0.02
1882.46,-0.87,-0.22,-0.6,-0.08
1882.54,-0.55,-0.16,-0.54,-0.08
1882.63,-0.25,-0.07,-0.04,-0.08
1882.71,-0.15,-0.14,-0.46,-0.09
1882.79,-0.2,-0.23,-1.06,-0.05
1882.88,-0.5,-0.17,-0.93,0.04
1882.96,-0.79,-0.36,-1.87,0.09
1883.04,-0.54,-0.29,-1.48,0.02
1883.13,-0.74,-0.36,-1.6,-0.06
1883.21,-0.48,-0.12,-0.4,-0.06
1883.29,-0.4,-0.18,-0.76,-0.03
1883.38,-0.43,-0.18,-0.46,-0.11
1883.46,0.3,-0.07,0.01,-0.1
1883.54,-0.21,-0.07,-0.14,-0.08
1883.63,-0.11,-0.14,-0.31,-0.1
1883.71,-0.42,-0.22,-0.64,-0.15
1883.79,-0.34,-0.11,-0.43,-0.06
1883.88,-0.62,-0.24,-1.09,-0.03
1883.96,-0.37,-0.11,-0.3,-0.05
1884.04,-0.68,-0.12,-0.36,-0.02
1884.13,-0.38,-0.08,-0.48,0.04
1884.21,-0.38,-0.36,-1.34,-0.11
1884.29,-0.64,-0.4,-1.27,-0.14
1884.38,-0.92,-0.33,-0.96,-0.14
1884.46,-0.43,-0.35,-0.77,-0.22
1884.54,-0.4,-0.3,-0.62,-0.27
1884.63,0.13,-0.28,-0.52,-0.24
1884.71,-0.32,-0.27,-0.82,-0.17
1884.79,-0.59,-0.25,-0.77,-0.16
1884.88,-0.7,-0.33,-0.94,-0.18
1884.96,-0.76,-0.3,-0.68,-0.18
1885.04,-0.89,-0.58,-1.88,-0.21
1885.13,-0.69,-0.34,-1.01,-0.17
1885.21,-0.73,-0.27,-0.55,-0.19
1885.29,-0.84,-0.42,-1.16,-0.23
1885.38,-0.64,-0.45,-1,-0.26
1885.46,-0.74,-0.43,-0.8,-0.31
1885.54,-0.58,-0.33,-0.55,-0.32
1885.63,-0.29,-0.31,-0.58,-0.25
1885.71,-0.3,-0.28,-0.55,-0.24
1885.79,-0.34,-0.23,-0.67,-0.14
1885.88,-0.32,-0.24,-0.65,-0.11
1885.96,-0.06,-0.1,-0.05,-0.08
1886.04,-0.58,-0.44,-1.26,-0.13
1886.13,-0.64,-0.51,-1.53,-0.17
1886.21,-0.43,-0.43,-1.2,-0.17
1886.29,-0.33,-0.28,-0.55,-0.17
1886.38,-0.31,-0.24,-0.4,-0.16
1886.46,-0.44,-0.34,-0.6,-0.23
1886.54,-0.1,-0.18,0.05,-0.28
1886.63,-0.3,-0.31,-0.35,-0.32
1886.71,-0.09,-0.24,-0.2,-0.28
1886.79,-0.62,-0.28,-0.66,-0.18
1886.88,-0.25,-0.28,-0.68,-0.17
1886.96,-0.34,-0.26,-0.1,-0.27
1887.04,-0.66,-0.72,-1.85,-0.37
1887.13,-0.99,-0.57,-1.38,-0.31
1887.21,-0.46,-0.36,-0.66,-0.24
1887.29,-0.54,-0.35,-0.6,-0.22
1887.38,-0.67,-0.31,-0.28,-0.29
1887.46,-0.62,-0.25,-0.32,-0.2
1887.54,-0.64,-0.26,-0.25,-0.28
1887.63,-0.55,-0.36,-0.64,-0.28
1887.71,-0.7,-0.26,-0.35,-0.23
1887.79,-0.53,-0.36,-0.81,-0.21
1887.88,-0.68,-0.27,-0.56,-0.14
1887.96,-0.63,-0.33,-0.92,-0.11
1888.04,-0.56,-0.34,-0.98,-0.12
1888.13,-0.75,-0.36,-1.17,-0.1
1888.21,-0.7,-0.42,-1.17,-0.16
1888.29,-0.27,-0.21,-0.43,-0.12
1888.38,-0.67,-0.22,-0.68,-0.06
1888.46,-0.4,-0.17,-0.45,-0.06
1888.54,-0.27,-0.1,-0.1,-0.11
1888.63,-0.25,-0.16,-0.29,-0.12
1888.71,-0.32,-0.12,-0.4,-0.05
1888.79,-0.07,0.01,-0.25,0.09
1888.88,-0.04,0.02,-0.24,0.08
1888.96,-0.22,-0.04,-0.76,0.17
1889.04,-0.29,-0.09,-0.96,0.19
1889.13,0.09,0.16,0.32,0.13
1889.21,0.11,0.06,0.04,0.1
1889.29,0.24,0.09,0.35,0.02
1889.38,0.13,-0.01,-0.07,-0.01
1889.46,-0.14,-0.1,-0.1,-0.08
1889.54,-0.22,-0.08,-0.01,-0.09
